id;name;category;value;updated_at;active
1001;Механическая клавиатура;Электроника;2999.9;2026-01-10 09:15:00;True
1002;Беспроводная мышь;Электроника;1599.5;2026-01-11 00:00:00;True
1003;Монитор 24 дюйма;Электроника;18490.0;2026-01-11 14:30:00;True
1004;Кофейная кружка;Дом;450.0;2026-01-12 00:00:00;True
1005;Настольная лампа;Дом;1200.0;2026-01-13 21:00:00;False
1006;Рюкзак городской;Аксессуары;3490.75;2026-01-14 00:00:00;False
1007;Блокнот А5;Канцелярия;120.0;2026-01-15 10:05:00;True
1008;Набор ручек;Канцелярия;275.4;2026-01-15 00:00:00;False
1009;USB-C кабель;Электроника;890.0;2026-01-16 00:00:00;True
1010;Портативная колонка;Электроника;;2026-01-17 12:20:00;True
1011;Термос;Дом;1500.0;2026-01-18 00:00:00;False
1012;Книга Python для начинающих;Книги;1350.0;2026-01-19 00:00:00;True
1013;Подставка для ноутбука;Аксессуары;;2026-01-20 08:00:00;True
1014;Чехол для телефона;Аксессуары;799.99;2026-01-20 16:45:00;False
1015;Флеш-накопитель 64GB;Электроника;999.0;2026-01-21 00:00:00;True
1017;Настенные часы;Дом;2100.0;2026-01-23 19:10:00;False
1018;Наушники;Электроника;3290.0;;True
1019;Ежедневник;Канцелярия;540.0;2026-01-25 00:00:00;True
1020;Сумка для ноутбука;Аксессуары;;2026-01-25 00:00:00;False
1021;Увлажнитель воздуха;Дом;4590.3;2026-01-26 07:35:00;True
1022;Веб-камера;Электроника;2690.0;2026-01-27 00:00:00;False
1023;Коврик для мыши;Электроника;399.0;2026-01-28 00:00:00;True
1024;Карандаш механический;Канцелярия;85.0;2026-01-29 00:00:00;False
